name,href
Abraham Abe Rosenthal,/frasi-di/abraham-abe-rosenthal/
Antonia Susan Byatt,/frasi-di/antonia-susan-byatt/
Aaliyah,/frasi-di/aaliyah-dana-haughton/
Caroline Aaron,/frasi-di/caroline-aaron/
Hank Aaron,/frasi-di/henry-louis-aaron/
Aaron Paul,/frasi-di/aaron-paul/
Quinton Aaron,/frasi-di/quinton-aaron/
Bertus Aasfjes,/frasi-di/bertus-aasfjes/
Magdalena Abakanowicz,/frasi-di/magdalena-abakanowicz/
Diego Abatantuono,/frasi-di/diego-abatantuono/
Claudio Abbado,/frasi-di/claudio-abbado/
Nicola Abbagnano,/frasi-di/nicola-abbagnano/
Eleonora Abbagnato,/frasi-di/eleonora-abbagnato/
Ernest Abbé,/frasi-di/ernest-abbe/
Abbé Pierre,/frasi-di/henri-antoine-groues/
Edward Abbey,/frasi-di/edward-abbey/
Bud Abbott,/frasi-di/bud-abbott/
Lyman Abbott,/frasi-di/lyman-abbott/
Barkhad Abdi,/frasi-di/barkhad-abdi/
Kareem Abdul-Jabbar,/frasi-di/kareem-abdul-jabbar/
Kōbō Abe,/frasi-di/kobo-abe/
Eliette Abécassis,/frasi-di/eliette-abecassis/
Lionel Abel,/frasi-di/lionel-abel/
Niels Henrik Abel,/frasi-di/niels-henrik-abel/
Pietro Abelardo,/frasi-di/pietro-abelardo/
Richard Abell,/frasi-di/richard-abell/
Hal Abelson,/frasi-di/hal-abelson/
Abercio,/frasi-di/abercio/
F. Murray Abraham,/frasi-di/f-murray-abraham/
Roman Abramovič,/frasi-di/roman-abramovic/
J.J. Abrams,/frasi-di/jj-abrams/
Victoria Abril,/frasi-di/victoria-abril/
Alfredo Accatino,/frasi-di/alfredo-accatino/
Ornella Angeloni Accatino,/frasi-di/ornella-angeloni-accatino/
Laura Accerboni,/frasi-di/laura-accerboni/
Lucius Accius,/frasi-di/lucio-accio/
Stefano Accorsi,/frasi-di/stefano-accorsi/
Marcel Achard,/frasi-di/marcel-achard/
Dean Acheson,/frasi-di/dean-acheson/
Anna Andreevna Achmàtova,/frasi-di/anna-andreevna-achmatova/
Herbert Achternbusch,/frasi-di/herbert-achternbusch/
Joe Randolph Ackerley,/frasi-di/joe-randolph-ackerley/
Diane Ackerman,/frasi-di/diane-ackerman/
Louise Ackermann,/frasi-di/louise-ackermann/
Claudio Acquaviva,/frasi-di/claudio-acquaviva/
Albert Acremant,/frasi-di/albert-acremant/
Lord Acton,/frasi-di/john-emerich-dalberg-carol-acton/
Bill Adam,/frasi-di/bill-adam/
Robert Adam,/frasi-di/robert-adam/
Arthur Adamov,/frasi-di/arthur-adamov/
Abigail Adams,/frasi-di/abigail-adams/
Amy Adams,/frasi-di/amy-adams/
Ansel Easton Adams,/frasi-di/ansel-easton-adams/
Brian Adams,/frasi-di/brian-adams/
Charles Francis Kendall Adams,/frasi-di/charles-francis-kendall-adams/
Cindy Adams,/frasi-di/cindy-adams/
Douglas Adams,/frasi-di/douglas-adams/
